keyword,title,up,play,danmu,pubdate,bvid,link,scene
抽牌建议,【78张牌意】建议牌：抽到它就按它去做,花里木木,8274,1,1738578867,BV1UzPRezEdi,https://www.bilibili.com/video/BV1UzPRezEdi,情感
抽牌建议,塔罗案例 遇到问题就抽建议牌！建议牌逆位的解法,annewhite安妮,5042,0,1631415896,BV1uq4y1f7xN,https://www.bilibili.com/video/BV1uq4y1f7xN,情感
抽牌建议,基础牌意深度讲解，从此占卜不求人,LuckyRich带你追星,679,0,0,,https://www.bilibili.com/video/,情感
抽牌建议,up主的塔罗牌抽牌手法演示。（仅供参考。如果你不适应，你可以选择摸索更适合自己的。）,灵愈音乐,702,0,1744084331,BV1tGdnYDELt,https://www.bilibili.com/video/BV1tGdnYDELt,情感
抽牌建议,常用洗牌、抽牌方式（新手必看）,风铃子Lyn,107391,46,1719548144,BV1qP3WemEMU,https://www.bilibili.com/video/BV1qP3WemEMU,情感
抽牌建议,🔮新手进！洗牌切牌推牌抽牌一条视频带你速通！,茯见山苓_Kagami,17648,14,1754837079,BV1ANbKzLEw3,https://www.bilibili.com/video/BV1ANbKzLEw3,情感
抽牌建议,新手向！塔罗牌如何正确洗牌和抽牌？,安易塔罗疗愈,6416,0,1751357250,BV1SHgDziEpZ,https://www.bilibili.com/video/BV1SHgDziEpZ,情感
抽牌建议,【龙女塔罗】当抽到这张牌 我会去做这样一件事,龙女塔罗,449428,2557,1631199813,BV1HP4y1Y7we,https://www.bilibili.com/video/BV1HP4y1Y7we,情感
抽牌建议,新手拿到塔罗牌如何洗牌、抽牌以及要做什么准备工作？,我是小则又沐风啊,9835,1,1755199151,BV1xqbLz5ETB,https://www.bilibili.com/video/BV1xqbLz5ETB,情感
抽牌建议,生活建议，随机分组抽牌,地上长出的果子,112,0,1746800452,BV1eEVDzJEcW,https://www.bilibili.com/video/BV1eEVDzJEcW,情感
